release_date,release_month,state,L12_LF,L2_LF,L1_LF,LF,L12_U,L2_U,L1_U,U,L12_UR,L2_UR,L1_UR,UR
2/2/1994,12/1/1993,Alabama,"1,932.20","1,941.10","1,963.20","1,968.80",135.3,132.9,151.4,142.5,7,6.8,7.7,7.2
2/2/1994,12/1/1993,Alaska,263.1,270.2,276,270.5,22,20.2,19.2,20,8.4,7.5,6.9,7.4
2/2/1994,12/1/1993,Arizona,"1,742.20","1,773.70","1,739.00","1,762.00",126.5,107.9,103.6,100,7.3,6.1,6,5.7
2/2/1994,12/1/1993,Arkansas,"1,121.70","1,164.90","1,164.80","1,155.60",82.9,72.4,76.9,66.8,7.4,6.2,6.6,5.8
2/2/1994,12/1/1993,Colorado,"1,770.00","1,839.60","1,827.90","1,849.00",99.2,94.4,88.5,76.5,5.6,5.1,4.8,4.1
2/2/1994,12/1/1993,Connecticut,"1,785.90","1,770.30","1,728.50","1,740.10",132.7,104.1,108.7,102.7,7.4,5.9,6.3,5.9
2/2/1994,12/1/1993,Delaware,376.3,383.3,382,383.6,17.7,21.1,23.3,22.6,4.7,5.5,6.1,5.9
2/2/1994,12/1/1993,District of Columbia,268,272.9,270.9,272.6,23.7,21.1,21.7,20.6,8.8,7.7,8,7.5
2/2/1994,12/1/1993,Georgia,"3,253.70","3,338.60","3,345.60","3,372.50",216.7,181.9,188.7,224.3,6.7,5.4,5.6,6.7
2/2/1994,12/1/1993,Hawaii,577.5,579.8,578.6,574.3,27.6,22.7,23.5,23.7,4.8,3.9,4.1,4.1
2/2/1994,12/1/1993,Idaho,520.4,538.7,537,539.1,32.2,31.2,29.3,31.6,6.2,5.8,5.5,5.9
2/2/1994,12/1/1993,Indiana,"2,826.50","2,997.70","3,005.90","2,993.10",181.9,128.1,148,138.5,6.4,4.3,4.9,4.6
2/2/1994,12/1/1993,Iowa,"1,555.30","1,603.60","1,590.70","1,588.80",67,53.9,55.7,57.4,4.3,3.4,3.5,3.6
2/2/1994,12/1/1993,Kansas,"1,331.00","1,353.90","1,346.30","1,345.20",56.2,65.3,62.3,64.1,4.2,4.8,4.6,4.8
2/2/1994,12/1/1993,Kentucky,"1,757.90","1,764.00","1,737.30","1,742.60",113.8,116.3,103.7,98.8,6.5,6.6,6,5.7
2/2/1994,12/1/1993,Louisiana,"1,886.30","1,867.10","1,893.00","1,881.40",153.8,140.3,160.6,134.3,8.2,7.5,8.5,7.1
2/2/1994,12/1/1993,Maine,659.9,660.5,649.8,640,47.6,51.3,53,50,7.2,7.8,8.2,7.8
2/2/1994,12/1/1993,Maryland,"2,641.40","2,657.30","2,651.50","2,670.70",164.6,167.7,147.1,148.4,6.2,6.3,5.5,5.6
2/2/1994,12/1/1993,Minnesota,"2,467.40","2,462.00","2,489.30","2,496.70",121.3,125.2,110.3,110.7,4.9,5.1,4.4,4.4
2/2/1994,12/1/1993,Mississippi,"1,179.90","1,209.30","1,209.60","1,213.20",81.1,71.1,73.5,75.7,6.9,5.9,6.1,6.2
2/2/1994,12/1/1993,Missouri,"2,660.70","2,750.40","2,715.30","2,685.30",145.7,154.7,158.4,160.1,5.5,5.6,5.8,6
2/2/1994,12/1/1993,Montana,409.5,417,415.5,408.1,26.2,24.4,22.6,21.3,6.4,5.9,5.4,5.2
2/2/1994,12/1/1993,Nebraska,847.5,872.9,885.1,888,23.8,21.1,19.2,20.3,2.8,2.4,2.2,2.3
2/2/1994,12/1/1993,Nevada,680.3,711.3,713.7,714.2,42.6,52.6,51.8,47.8,6.3,7.4,7.3,6.7
2/2/1994,12/1/1993,New Hampshire,641.3,649.8,651.1,638.1,46.3,41.5,35.5,34.8,7.2,6.4,5.4,5.4
2/2/1994,12/1/1993,New Mexico,721.5,743.8,742,744,43.5,55.1,55.5,52.2,6,7.4,7.5,7
2/2/1994,12/1/1993,North Dakota,313.6,317.5,322.4,325.7,14.4,12.8,11.5,11.9,4.6,4,3.6,3.6
2/2/1994,12/1/1993,Oklahoma,"1,540.60","1,528.90","1,552.80","1,548.40",82.4,91,94.9,77.6,5.4,5.9,6.1,5
2/2/1994,12/1/1993,Oregon,"1,536.50","1,593.20","1,624.20","1,611.30",112.1,111.7,107,106.7,7.3,7,6.6,6.6
2/2/1994,12/1/1993,Rhode Island,523.4,517.2,518.9,525.1,41.7,37.8,39.4,46.8,8,7.3,7.6,8.9
2/2/1994,12/1/1993,South Carolina,"1,790.70","1,812.90","1,794.60","1,791.90",102.8,128.4,119.9,124.9,5.7,7.1,6.7,7
2/2/1994,12/1/1993,South Dakota,364.5,366.2,365.6,361.9,11.3,11.8,14.2,14.4,3.1,3.2,3.9,4
2/2/1994,12/1/1993,Tennessee,"2,472.80","2,502.80","2,522.10","2,511.40",149.3,130.2,129.5,116.3,6,5.2,5.1,4.6
2/2/1994,12/1/1993,Utah,814.9,856.9,868.2,868.3,43.5,28.1,30.1,32.1,5.3,3.3,3.5,3.7
2/2/1994,12/1/1993,Vermont,325,328.3,327,325.1,19.5,15.4,14.6,14.2,6,4.7,4.5,4.4
2/2/1994,12/1/1993,Virginia,"3,330.80","3,302.40","3,304.70","3,328.90",197.8,183.9,163.4,139,5.9,5.6,4.9,4.2
2/2/1994,12/1/1993,Washington,"2,577.70","2,714.40","2,677.20","2,754.40",201.4,203.9,185.3,177.4,7.8,7.5,6.9,6.4
2/2/1994,12/1/1993,West Virginia,762.3,779.3,773.1,773.8,80.2,79.5,76.8,80,10.5,10.2,9.9,10.3
