"","Sahm weeks","Tiers","Landing weeks","Total weeks claimed (millions)","Total weeks uncovered (millions)","Proportion of weeks uncovered","Weighted v over u","Weighted tur"
"1","0","1","0","437","876","0.67",1.23,8.9
"2","0","1","13","449","863","0.66",1.28,8.82
"3","0","3","All 0","583","730","0.56",1.16,9.2
"4","0","3","All 13","602","711","0.54",1.2,9.11
"5","0","4","All 0","678","635","0.48",1.37,8.7
"6","0","4","All 13","696","617","0.47",1.41,8.63
"7","26","1","0","502","810","0.62",1.44,8.29
"8","26","1","13","514","799","0.61",1.47,8.24
"9","26","3","All 0","654","659","0.5",1.32,8.67
"10","26","3","All 13","672","641","0.49",1.35,8.62
"11","26","4","All 0","721","592","0.45",1.48,8.42
"12","26","4","All 13","737","575","0.44",1.52,8.37
"13","52","1","0","593","719","0.55",1.46,8.02
"14","52","1","13","604","708","0.54",1.49,7.99
"15","52","3","All 0","719","594","0.45",1.38,8.39
"16","52","3","All 13","736","576","0.44",1.42,8.34
"17","52","4","All 0","760","553","0.42",1.52,8.25
"18","52","4","All 13","777","536","0.41",1.55,8.21
"19",NA,NA,NA,"670","643","0.49",1.27,8.84
